名称,休止開始日,休止終了日
北部収集窓口センター,2021/05/01,2021/05/05
北部収集窓口センター,2021/12/31,2021/12/31
北部収集窓口センター,2022/01/01,2022/01/03
平和清掃事業所,2021/05/01,2021/05/05
平和清掃事業所,2021/12/31,2021/12/31
平和清掃事業所,2022/01/01,2022/01/03
南清掃事業所,2021/05/01,2021/05/05
南清掃事業所,2021/12/31,2021/12/31
南清掃事業所,2022/01/01,2022/01/03
浜北環境事業所,2021/05/01,2021/05/05
浜北環境事業所,2021/12/31,2021/12/31
浜北環境事業所,2022/01/01,2022/01/03
天竜環境事業所,2021/05/01,2021/05/05
天竜環境事業所,2021/12/31,2021/12/31
天竜環境事業所,2022/01/01,2022/01/03
水窪・佐久間クリーンセンター,2021/05/01,2021/05/05
水窪・佐久間クリーンセンター,2021/12/31,2021/12/31
水窪・佐久間クリーンセンター,2022/01/01,2022/01/03
